month,airline,delay,carrierd,extrmwd,nasd,securityd,latarrd,temperature,humidity,visibility,wind_s,hour_c
Nov,Delta Air Lines,5,0,0,0,0,0,59,60,10,14,morning
Nov,JetBlue Airways,14,0,0,0,0,0,60,52,10,20,noon
Nov,Republic Airways,2,0,0,0,0,0,60,52,10,20,noon
Nov,JetBlue Airways,11,0,0,0,0,0,60,52,10,20,noon
Nov,JetBlue Airways,51,33,0,0,0,4,60,52,10,20,noon
Nov,JetBlue Airways,5,0,0,0,0,0,60,52,10,20,noon
Nov,JetBlue Airways,10,0,0,0,0,0,53,55,10,10,noon
Nov,Republic Airways,11,0,0,0,0,0,53,55,10,10,noon
Nov,Republic Airways,120,2,0,64,0,118,53,55,10,10,noon
Nov,JetBlue Airways,9,0,0,0,0,0,53,57,10,16,noon
Nov,American Airlines,30,0,0,0,0,0,53,57,10,16,noon
Nov,Republic Airways,21,0,0,4,0,21,53,57,10,16,noon
Nov,JetBlue Airways,3,0,0,0,0,0,53,52,10,16,afternoon
Nov,JetBlue Airways,12,0,0,0,0,0,53,52,10,16,afternoon
Nov,JetBlue Airways,30,10,0,0,0,7,53,52,10,16,afternoon
Nov,JetBlue Airways,26,19,0,0,0,2,53,52,10,16,afternoon
Nov,American Airlines,21,0,0,0,0,0,53,52,10,16,afternoon
Nov,JetBlue Airways,1,1,0,16,0,0,52,55,10,11,afternoon
Nov,Republic Airways,13,13,0,21,0,0,52,55,10,11,afternoon
Nov,Delta Air Lines,20,0,0,0,0,0,52,55,10,11,afternoon
Nov,JetBlue Airways,61,47,0,0,0,7,52,55,10,11,afternoon
Nov,Republic Airways,22,0,0,16,0,22,52,55,10,11,afternoon
Nov,Delta Air Lines,1,0,0,0,0,0,52,55,10,11,afternoon
Nov,Delta Air Lines,23,19,0,0,0,0,52,55,10,11,afternoon
Nov,Republic Airways,1,0,0,21,0,1,52,55,10,11,afternoon
Nov,Republic Airways,45,49,0,8,0,0,52,55,10,11,afternoon
Nov,JetBlue Airways,26,0,0,0,0,0,52,55,10,11,afternoon
Nov,Republic Airways,45,7,0,12,0,38,52,55,10,11,afternoon
Nov,JetBlue Airways,5,5,0,14,0,0,52,55,10,11,afternoon
Nov,JetBlue Airways,2,0,0,0,0,0,50,71,10,18,afternoon
Nov,American Airlines,3,0,0,0,0,0,50,71,10,18,afternoon
Nov,American Airlines,4,4,0,17,0,0,50,71,10,18,afternoon
Nov,Alaska Airlines,25,0,0,0,0,0,50,71,10,18,afternoon
Nov,JetBlue Airways,5,0,0,0,0,0,49,71,10,11,afternoon
Nov,JetBlue Airways,27,17,0,0,0,0,49,71,10,11,afternoon
Nov,American Airlines,2,0,0,0,0,0,49,71,10,11,afternoon
Nov,Delta Air Lines,9,0,0,0,0,0,49,71,10,11,afternoon
Nov,American Airlines,68,56,0,0,0,0,49,71,10,11,afternoon
Nov,Republic Airways,23,0,0,0,0,19,49,71,10,11,afternoon
Nov,JetBlue Airways,6,0,0,0,0,0,49,71,10,11,afternoon
Nov,Republic Airways,8,0,0,0,0,0,48,80,10,13,night
Nov,American Airlines,238,0,0,0,0,228,48,80,10,13,night
Nov,Delta Air Lines,19,0,0,0,0,0,48,80,10,13,night
Nov,Delta Air Lines,8,0,0,0,0,0,48,80,10,13,night
Nov,Alaska Airlines,1,0,0,0,0,0,48,80,10,13,night
Nov,Republic Airways,6,0,0,22,0,6,48,80,10,13,night
Nov,JetBlue Airways,15,0,0,0,0,0,48,80,10,13,night
Nov,JetBlue Airways,2,0,0,0,0,0,48,77,10,11,night
Nov,JetBlue Airways,58,46,0,0,0,0,48,77,10,11,night
Nov,Delta Air Lines,77,60,0,0,0,0,48,77,10,11,night
Nov,JetBlue Airways,25,17,0,0,0,0,48,77,10,11,night
Nov,Delta Air Lines,24,0,0,0,0,0,48,77,10,11,night
Nov,Endeavor Air,1,0,0,0,0,0,48,74,10,11,night
Nov,JetBlue Airways,36,0,0,0,0,0,48,74,10,11,night
Nov,JetBlue Airways,12,0,0,0,0,0,48,74,10,11,night
Nov,Republic Airways,13,0,0,0,0,0,48,74,10,11,night
Nov,JetBlue Airways,2,0,0,0,0,0,48,74,10,11,night
Nov,Republic Airways,14,14,0,1,0,0,48,74,10,11,night
Nov,JetBlue Airways,3,0,0,0,0,0,48,74,10,11,night
Nov,JetBlue Airways,37,21,0,0,0,2,48,74,10,11,night
Nov,JetBlue Airways,2,0,0,0,0,0,48,74,10,11,night
Nov,JetBlue Airways,18,0,0,0,0,0,47,74,10,14,night
Nov,JetBlue Airways,8,0,0,0,0,0,47,74,10,14,night
Nov,JetBlue Airways,4,0,0,0,0,0,47,74,10,14,night
Nov,JetBlue Airways,7,0,0,0,0,0,47,74,10,14,night
Nov,JetBlue Airways,5,0,0,0,0,0,47,74,10,14,night
Nov,JetBlue Airways,59,0,0,3,53,6,46,77,10,10,night
Nov,JetBlue Airways,10,0,0,0,0,0,46,77,10,10,night
Nov,American Airlines,46,31,0,0,0,0,50,61,10,5,morning
Nov,American Airlines,1,0,0,0,0,0,50,61,10,5,morning
Nov,Delta Air Lines,34,34,0,14,0,0,51,66,10,5,morning
Nov,JetBlue Airways,3,0,0,0,0,0,51,66,10,5,morning
Nov,Delta Air Lines,3,0,0,0,0,0,51,66,10,5,morning
Nov,JetBlue Airways,38,0,0,11,0,38,51,66,10,5,morning
Nov,American Airlines,11,0,0,0,0,0,54,43,10,3,morning
Nov,JetBlue Airways,28,17,0,0,0,0,54,43,10,3,morning
Nov,Delta Air Lines,11,11,0,19,0,0,54,43,10,3,morning
Nov,Republic Airways,20,4,0,1,0,16,54,43,10,3,morning
Nov,Delta Air Lines,36,28,0,0,0,0,54,43,10,3,morning
Nov,American Airlines,43,19,0,0,0,0,54,43,10,3,morning
Nov,American Airlines,17,0,0,0,0,0,54,51,10,10,noon
Nov,Republic Airways,10,0,0,5,0,10,54,51,10,10,noon
Nov,JetBlue Airways,6,6,0,14,0,0,54,51,10,10,noon
Nov,American Airlines,3,0,0,0,0,0,54,51,10,10,noon
Nov,JetBlue Airways,6,0,0,0,0,0,52,41,10,10,noon
Nov,JetBlue Airways,60,54,0,0,0,0,52,45,10,9,noon
Nov,American Airlines,3,0,0,0,0,0,52,45,10,9,noon
Nov,JetBlue Airways,50,3,0,0,0,31,52,45,10,9,noon
Nov,Republic Airways,7,7,0,12,0,0,51,41,10,8,noon
Nov,Republic Airways,57,0,0,24,0,57,51,41,10,8,noon
Nov,JetBlue Airways,2,0,0,0,0,0,51,41,10,8,noon
Nov,Republic Airways,8,0,0,0,0,0,51,41,10,8,noon
Nov,JetBlue Airways,11,0,0,0,0,0,51,41,10,8,noon
Nov,JetBlue Airways,25,25,0,0,0,0,55,34,10,15,noon
Nov,JetBlue Airways,11,0,0,0,0,0,55,34,10,15,noon
Nov,JetBlue Airways,87,87,0,19,0,0,55,34,10,15,noon
Nov,American Airlines,2,0,0,0,0,0,55,34,10,15,noon
Nov,American Airlines,45,0,0,0,0,24,55,34,10,15,noon
Nov,Endeavor Air,154,146,0,0,0,0,53,35,10,10,afternoon
Nov,Delta Air Lines,2,0,0,0,0,0,53,35,10,10,afternoon
Nov,JetBlue Airways,32,26,0,0,0,0,53,35,10,10,afternoon
Nov,JetBlue Airways,3,0,0,0,0,0,53,35,10,10,afternoon
Nov,JetBlue Airways,32,17,0,0,0,0,51,39,10,15,afternoon
Nov,JetBlue Airways,7,0,0,0,0,0,51,39,10,15,afternoon
Nov,Delta Air Lines,3,0,0,0,0,0,51,39,10,15,afternoon
Nov,American Airlines,61,53,0,0,0,0,49,41,10,16,afternoon
Nov,Alaska Airlines,26,0,0,0,0,0,49,41,10,16,afternoon
Nov,JetBlue Airways,10,0,0,0,0,0,49,41,10,16,afternoon
Nov,JetBlue Airways,1,0,0,0,0,0,49,41,10,16,afternoon
Nov,JetBlue Airways,41,0,0,0,0,0,49,41,10,16,afternoon
Nov,American Airlines,10,4,0,12,0,6,47,42,10,11,afternoon
Nov,JetBlue Airways,19,0,0,0,0,0,47,42,10,11,afternoon
Nov,Delta Air Lines,1,0,0,0,0,0,47,42,10,11,afternoon
Nov,Republic Airways,5,0,0,0,0,0,47,42,10,11,afternoon
Nov,JetBlue Airways,9,0,0,0,0,0,46,46,10,7,night
Nov,Delta Air Lines,5,0,0,0,0,0,46,46,10,7,night
Nov,JetBlue Airways,24,0,0,0,0,0,46,46,10,7,night
Nov,Alaska Airlines,5,0,0,0,0,0,46,46,10,7,night
Nov,Republic Airways,5,0,0,0,0,0,46,46,10,7,night
Nov,JetBlue Airways,12,0,0,0,0,0,46,46,10,7,night
Nov,JetBlue Airways,16,16,0,4,0,0,47,46,10,10,night
Nov,American Airlines,12,0,0,0,0,0,47,46,10,10,night
Nov,Delta Air Lines,17,0,0,0,0,0,47,46,10,10,night
Nov,JetBlue Airways,4,0,0,0,0,0,47,46,10,10,night
Nov,Delta Air Lines,70,30,0,0,0,0,47,46,10,10,night
Nov,JetBlue Airways,36,36,0,66,0,0,46,47,10,11,night
Nov,JetBlue Airways,21,21,0,23,0,0,46,47,10,11,night
Nov,JetBlue Airways,1,0,0,0,0,0,46,47,10,11,night
Nov,JetBlue Airways,2,0,0,0,0,0,46,47,10,11,night
Nov,JetBlue Airways,12,0,0,0,0,0,46,47,10,11,night
Nov,JetBlue Airways,5,0,0,0,0,0,46,47,10,11,night
Nov,JetBlue Airways,11,0,0,0,0,0,46,47,10,11,night
Nov,JetBlue Airways,29,0,0,0,0,0,46,47,10,11,night
Nov,JetBlue Airways,16,14,0,12,0,2,46,47,10,10,night
Nov,JetBlue Airways,19,0,0,0,0,0,46,47,10,10,night
Nov,JetBlue Airways,6,0,0,0,0,0,46,47,10,10,night
Nov,JetBlue Airways,23,16,0,0,0,1,46,47,10,10,night
Nov,Republic Airways,14,14,0,3,0,0,46,47,10,10,night
Nov,JetBlue Airways,3,0,0,0,0,0,46,47,10,10,night
Nov,JetBlue Airways,122,122,0,8,0,0,46,47,10,10,night
Nov,JetBlue Airways,1,0,0,0,0,0,45,49,10,8,night
Nov,JetBlue Airways,19,0,0,0,0,0,42,65,10,8,morning
Nov,JetBlue Airways,1,1,0,22,0,0,42,65,10,8,morning
Nov,American Airlines,8,0,0,0,0,0,42,65,10,8,morning
Nov,American Airlines,359,359,0,1,0,0,42,65,10,8,morning
Nov,JetBlue Airways,41,37,0,0,0,0,42,65,10,8,morning
Nov,Delta Air Lines,2,0,0,0,0,0,45,63,10,9,morning
Nov,American Airlines,5,5,0,42,0,0,45,63,10,9,morning
Nov,Republic Airways,2,0,0,0,0,0,45,63,10,9,morning
Nov,Alaska Airlines,3,0,0,0,0,0,45,63,10,9,morning
Nov,Delta Air Lines,43,43,0,4,0,0,45,63,10,9,morning
Nov,JetBlue Airways,42,42,0,3,0,0,45,63,10,9,morning
Nov,Delta Air Lines,153,153,0,10,0,0,48,54,10,10,morning
Nov,Delta Air Lines,112,110,0,0,0,0,48,54,10,10,morning
Nov,American Airlines,34,16,0,0,0,0,48,54,10,10,morning
Nov,American Airlines,19,0,0,10,0,19,48,54,10,10,morning
Nov,Endeavor Air,108,95,0,0,0,0,48,54,10,10,morning
Nov,JetBlue Airways,104,92,0,0,0,0,50,48,10,7,noon
Nov,Republic Airways,11,0,0,0,0,0,50,48,10,7,noon
Nov,JetBlue Airways,14,14,0,3,0,0,50,48,10,7,noon
Nov,JetBlue Airways,94,67,0,0,0,0,50,48,10,7,noon
Nov,JetBlue Airways,7,0,0,0,0,0,50,48,10,7,noon
Nov,JetBlue Airways,95,87,0,0,0,0,50,48,10,7,noon
Nov,Delta Air Lines,1,0,0,0,0,0,50,39,10,5,noon
Nov,JetBlue Airways,30,0,0,0,0,0,50,39,10,5,noon
Nov,American Airlines,86,79,0,0,0,0,52,34,10,8,noon
Nov,Republic Airways,68,0,0,0,0,59,52,34,10,8,noon
Nov,Delta Air Lines,3,0,0,0,0,0,52,34,10,8,noon
Nov,JetBlue Airways,5,0,0,0,0,0,52,34,10,8,noon
Nov,JetBlue Airways,5,0,0,0,0,0,52,31,10,5,noon
Nov,Delta Air Lines,8,0,0,0,0,0,52,31,10,5,noon
Nov,Republic Airways,63,0,0,0,0,57,52,31,10,5,noon
Nov,Endeavor Air,5,0,0,26,0,0,52,31,10,5,noon
Nov,JetBlue Airways,7,7,0,12,0,0,53,31,10,6,noon
Nov,JetBlue Airways,1,0,0,0,0,0,53,31,10,6,noon
Nov,Delta Air Lines,14,0,0,0,0,0,53,31,10,6,noon
Nov,JetBlue Airways,17,12,0,2,0,5,53,31,10,6,noon
Nov,JetBlue Airways,29,22,0,0,0,0,51,32,10,8,afternoon
Nov,JetBlue Airways,24,14,0,0,0,5,51,32,10,8,afternoon
Nov,JetBlue Airways,17,0,0,0,0,0,51,32,10,8,afternoon
Nov,Endeavor Air,1,0,0,0,0,0,49,35,10,7,afternoon
Nov,Republic Airways,80,0,0,0,0,73,49,35,10,7,afternoon
Nov,JetBlue Airways,26,0,0,0,0,0,49,35,10,7,afternoon
Nov,Delta Air Lines,10,0,0,0,0,0,49,35,10,7,afternoon
Nov,Delta Air Lines,24,17,0,0,0,0,49,35,10,7,afternoon
Nov,JetBlue Airways,42,0,0,20,0,42,49,35,10,7,afternoon
Nov,Alaska Airlines,12,0,0,0,0,0,48,37,10,7,afternoon
Nov,American Airlines,1,0,0,0,0,0,48,37,10,7,afternoon
Nov,JetBlue Airways,22,22,0,40,0,0,48,37,10,7,afternoon
Nov,JetBlue Airways,38,0,0,0,0,0,48,37,10,7,afternoon
Nov,American Airlines,14,0,0,0,0,0,47,39,10,7,afternoon
Nov,JetBlue Airways,16,16,0,5,0,0,47,39,10,7,afternoon
Nov,JetBlue Airways,1,0,0,0,0,0,47,39,10,7,afternoon
