Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Alaska Airlines Inc. (AS)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","01/06/2022","0027","N928VA","SFO","09:00","08:49","401","377","-11","09:10","21","0","0","0","0","0"
"AS","01/06/2022","0063","N297AK","SEA","11:30","11:54","385","401","24","12:20","26","24","0","16","0","0"
"AS","01/06/2022","0077","N468AS","SEA","09:30","09:35","385","384","5","09:58","23","0","0","0","0","0"
"AS","01/06/2022","0178","N253AK","SAN","09:30","09:21","362","363","-9","09:44","23","0","0","0","0","0"
"AS","01/06/2022","0185","N457AS","SFO","11:30","11:34","404","377","4","11:51","17","0","0","0","0","0"
"AS","01/06/2022","0186","N536AS","PDX","07:30","07:50","385","389","20","08:16","26","0","0","4","0","20"
"AS","01/06/2022","0221","N927VA","SEA","16:55","17:02","392","407","7","17:26","24","1","0","15","0","6"
"AS","01/06/2022","0393","N214AK","SAN","16:55","00:00","362","0","0","00:00","0","0","0","0","0","0"
"AS","01/06/2022","0479","N215AK","PDX","20:05","19:53","394","435","-12","20:53","60","0","0","29","0","0"
"AS","01/06/2022","0657","N924VA","SFO","18:35","18:25","415","393","-10","18:49","24","0","0","0","0","0"
"AS","01/07/2022","0007","N926VA","SEA","07:30","07:29","385","475","-1","09:08","99","0","0","89","0","0"
"AS","01/07/2022","0014","N471AS","SFO","13:00","00:00","404","0","0","00:00","0","0","0","0","0","0"
"AS","01/07/2022","0027","N928VA","SFO","09:00","00:00","401","0","0","00:00","0","0","0","0","0","0"
"AS","01/07/2022","0063","N495AS","SEA","11:30","00:00","385","0","0","00:00","0","0","0","0","0","0"
"AS","01/07/2022","0077","N478AS","SEA","09:30","00:00","385","0","0","00:00","0","0","0","0","0","0"
"AS","01/07/2022","0178","N287AK","SAN","09:30","09:34","362","426","4","11:05","91","0","0","68","0","0"
"AS","01/07/2022","0185","N525AS","SFO","11:30","00:00","404","0","0","00:00","0","0","0","0","0","0"
"AS","01/07/2022","0186","N481AS","PDX","07:30","00:00","385","0","0","00:00","0","0","0","0","0","0"
"AS","01/07/2022","0221","N924VA","SEA","16:55","17:02","392","413","7","17:35","33","0","0","28","0","0"
"AS","01/07/2022","0393","N461AS","SAN","16:55","17:02","362","375","7","17:42","40","0","0","13","0","7"
"AS","01/07/2022","0479","N281AK","PDX","20:05","19:50","394","417","-15","20:36","46","0","0","0","0","0"
"AS","01/07/2022","0657","N929VA","SFO","18:35","19:30","415","425","55","20:16","46","5","0","10","0","50"
