Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/02/2022","0654","N9019F","JAC","10:17","10:11","314","312","-6","10:26","15","0","0","0","0","0"
"AA","01/02/2022","0688","N723AN","MIA","13:30","13:28","188","201","-2","14:04","36","0","0","0","0","0"
"AA","01/02/2022","0842","N101NN","BOS","12:00","11:53","71","60","-7","12:09","16","0","0","0","0","0"
"AA","01/02/2022","0936","N5007E","STT","09:25","09:25","234","271","0","10:37","72","0","0","37","0","0"
"AA","01/02/2022","1032","N773AN","MIA","09:00","09:00","193","195","0","09:32","32","0","0","0","0","0"
"AA","01/02/2022","1074","N339PL","LAS","20:30","20:29","361","359","-1","20:51","22","0","0","0","0","0"
"AA","01/02/2022","1174","N341RW","MIA","18:20","18:20","193","205","0","18:39","19","0","0","0","0","0"
"AA","01/02/2022","1228","N315RJ","MIA","09:55","09:52","192","186","-3","10:12","20","0","0","0","0","0"
"AA","01/02/2022","1245","N354PT","ORD","19:55","19:47","173","160","-8","20:12","25","0","0","0","0","0"
"AA","01/02/2022","1274","N858NN","DFW","17:55","19:14","247","248","79","19:45","31","79","0","1","0","0"
"AA","01/02/2022","1355","N700UW","CLT","18:59","19:04","131","140","5","19:30","26","0","0","0","0","0"
"AA","01/02/2022","1444","N821NN","CLT","08:05","08:16","146","127","11","08:39","23","0","0","0","0","0"
"AA","01/02/2022","1479","N784AN","MIA","14:59","16:15","198","185","76","16:34","19","63","0","0","0","0"
"AA","01/02/2022","1487","N816NN","PHX","16:00","15:56","355","350","-4","16:23","27","0","0","0","0","0"
"AA","01/02/2022","1553","N9022G","EGE","11:00","13:15","292","303","135","13:34","19","135","0","11","0","0"
"AA","01/02/2022","1610","N762AN","MIA","07:59","07:58","194","183","-1","08:14","16","0","0","0","0","0"
"AA","01/02/2022","1644","N112AN","BOS","22:30","22:27","70","59","-3","22:44","17","0","0","0","0","0"
"AA","01/02/2022","1800","N116AN","BOS","15:55","15:47","70","73","-8","16:14","27","0","0","0","0","0"
"AA","01/02/2022","1875","N996NN","FLL","07:00","06:58","185","181","-2","07:19","21","0","0","0","0","0"
"AA","01/02/2022","1901","N793AN","MIA","16:25","16:34","190","190","9","17:00","26","0","0","0","0","0"
"AA","01/02/2022","2222","N877NN","BOS","08:00","08:01","74","69","1","08:24","23","0","0","0","0","0"
"AA","01/02/2022","2234","N317PG","DFW","08:05","00:00","263","0","0","00:00","0","0","0","0","0","0"
"AA","01/02/2022","2268","N134AN","MIA","06:30","06:29","189","184","-1","06:50","21","0","0","0","0","0"
"AA","01/02/2022","2305","N115NN","SFO","16:59","16:52","406","391","-7","17:12","20","0","0","0","0","0"
"AA","01/02/2022","2369","N947NN","PHX","06:30","00:00","360","0","0","00:00","0","0","0","0","0","0"
"AA","01/02/2022","2643","N931NN","CLT","06:00","06:02","128","126","2","06:22","20","0","0","0","0","0"
"AA","01/02/2022","2731","N819AW","CLT","17:27","17:26","124","135","-1","17:47","21","0","0","0","0","0"
"AA","01/02/2022","2772","N935NN","AUS","18:29","18:29","257","254","0","18:46","17","0","0","0","0","0"
"AA","01/02/2022","2813","N803NN","AUS","08:00","07:56","261","274","-4","08:19","23","0","0","0","0","0"
"AA","01/02/2022","2819","N303RE","ORD","07:50","00:00","172","0","0","00:00","0","0","0","0","0","0"
"AA","01/02/2022","2829","N335PH","PHX","13:24","13:16","352","333","-8","13:32","16","0","0","0","0","0"
"AA","01/03/2022","0001","N106NN","LAX","08:00","07:53","393","362","-7","08:09","16","0","0","0","0","0"
"AA","01/03/2022","0003","N105NN","LAX","10:30","10:26","388","387","-4","10:45","19","0","0","0","0","0"
"AA","01/03/2022","0076","N117AN","SFO","07:00","06:56","405","400","-4","07:12","16","0","0","0","0","0"
"AA","01/03/2022","0117","N111ZM","LAX","19:29","20:23","394","365","54","20:40","17","0","11","0","0","14"
"AA","01/03/2022","0171","N103NN","LAX","06:00","05:55","390","393","-5","06:26","31","0","0","0","0","0"
"AA","01/03/2022","0177","N103NN","SFO","20:00","20:53","405","389","53","21:06","13","20","17","0","0","0"
"AA","01/03/2022","0179","N115NN","SFO","08:55","08:50","409","418","-5","09:18","28","0","0","0","0","0"
"AA","01/03/2022","0255","N109NN","LAX","09:30","09:34","391","361","4","09:59","25","0","0","0","0","0"
"AA","01/03/2022","0300","N117AN","LAX","21:29","21:28","391","373","-1","21:43","15","0","0","0","0","0"
"AA","01/03/2022","0302","N102NN","LAX","17:29","17:26","390","379","-3","17:42","16","0","0","0","0","0"
"AA","01/03/2022","0306","N107NN","LAX","16:30","16:28","389","381","-2","16:59","31","0","0","0","0","0"
"AA","01/03/2022","0311","N926NN","CLT","14:53","14:51","134","99","-2","15:03","12","0","0","0","0","0"
"AA","01/03/2022","0341","N110AN","LAX","15:30","15:27","388","367","-3","15:44","17","0","0","0","0","0"
"AA","01/03/2022","0429","N113AN","SNA","16:20","16:18","383","363","-2","16:34","16","0","0","0","0","0"
"AA","01/03/2022","0493","N972NN","CLT","12:00","11:58","125","124","-2","12:24","26","0","0","0","0","0"
"AA","01/03/2022","0495","N996NN","CLT","09:29","09:44","130","120","15","10:06","22","0","0","0","0","0"
"AA","01/03/2022","0595","N735AT","MIA","11:10","11:06","186","184","-4","11:25","19","0","0","0","0","0"
"AA","01/03/2022","0654","N9016","JAC","10:17","10:18","314","329","1","10:34","16","1","0","15","0","0"
"AA","01/03/2022","0688","N725AN","MIA","13:30","13:24","188","176","-6","13:41","17","0","0","0","0","0"
"AA","01/03/2022","0842","N107NN","BOS","12:00","11:56","71","54","-4","12:11","15","0","0","0","0","0"
"AA","01/03/2022","0936","N9026C","STT","09:25","09:21","234","228","-4","09:45","24","0","0","0","0","0"
"AA","01/03/2022","1032","N781AN","MIA","09:00","08:58","193","188","-2","09:26","28","0","0","0","0","0"
"AA","01/03/2022","1074","N335PH","LAS","20:30","20:47","361","344","17","21:02","15","0","0","0","0","0"
"AA","01/03/2022","1174","N306RC","MIA","18:20","18:24","193","193","4","18:49","25","0","0","0","0","0"
"AA","01/03/2022","1228","N326SJ","MIA","09:55","09:50","192","200","-5","10:10","20","0","0","0","0","0"
"AA","01/03/2022","1245","N354PT","ORD","19:55","20:16","173","148","21","20:33","17","0","0","0","0","0"
"AA","01/03/2022","1274","N337PJ","DFW","17:55","18:00","247","246","5","18:16","16","0","0","0","0","0"
"AA","01/03/2022","1355","N724UW","CLT","18:59","18:58","131","106","-1","19:18","20","0","0","0","0","0"
"AA","01/03/2022","1444","N907AN","CLT","08:05","08:04","146","133","-1","08:32","28","0","0","0","0","0"
"AA","01/03/2022","1479","N991AU","MIA","14:59","00:00","198","0","0","00:00","0","0","0","0","0","0"
"AA","01/03/2022","1487","N876NN","PHX","16:00","15:53","355","319","-7","16:03","10","0","0","0","0","0"
"AA","01/03/2022","1553","N12028","EGE","11:00","11:07","292","304","7","11:39","32","0","0","19","0","0"
"AA","01/03/2022","1610","N758AN","MIA","07:59","08:07","194","227","8","08:41","34","8","0","33","0","0"
"AA","01/03/2022","1644","N106NN","BOS","22:30","22:26","70","63","-4","22:46","20","0","0","0","0","0"
"AA","01/03/2022","1800","N111ZM","BOS","15:55","15:52","70","76","-3","16:21","29","0","0","0","0","0"
"AA","01/03/2022","1875","N926NN","FLL","07:00","06:57","185","201","-3","07:19","22","0","0","0","0","0"
"AA","01/03/2022","1901","N788AN","MIA","16:25","16:25","190","181","0","16:53","28","0","0","0","0","0"
"AA","01/03/2022","2222","N346PR","BOS","08:00","07:57","74","60","-3","08:12","15","0","0","0","0","0"
"AA","01/03/2022","2234","N817NN","DFW","08:05","08:04","263","231","-1","08:30","26","0","0","0","0","0"
"AA","01/03/2022","2268","N140AN","MIA","06:30","09:39","189","191","189","09:57","18","0","0","2","0","189"
"AA","01/03/2022","2305","N116AN","SFO","16:59","17:02","406","397","3","17:22","20","0","0","0","0","0"
"AA","01/03/2022","2369","N945NN","PHX","06:30","06:24","360","344","-6","06:43","19","0","0","0","0","0"
"AA","01/03/2022","2643","N972NN","CLT","06:00","05:57","128","148","-3","06:27","30","0","0","17","0","0"
"AA","01/03/2022","2731","N821AW","CLT","17:27","17:48","124","113","21","18:02","14","0","0","0","0","0"
"AA","01/03/2022","2772","N946AN","AUS","18:29","18:30","257","237","1","18:44","14","0","0","0","0","0"
"AA","01/03/2022","2813","N820NN","AUS","08:00","07:54","261","246","-6","08:16","22","0","0","0","0","0"
"AA","01/03/2022","2819","N324RA","ORD","07:50","10:05","172","156","135","10:25","20","119","0","0","0","0"
