carrier_code,date,month,day,year,flight_number,tail_number,destination_airport,airline_name
DL,2021-12-24T05:00:00Z,12,24,2021,0442,N199DN,SFO,Delta Air Lines
DL,2021-12-24T05:00:00Z,12,24,2021,0795,N837MH,PHX,Delta Air Lines
DL,2021-12-24T05:00:00Z,12,24,2021,1272,N335DN,FLL,Delta Air Lines
DL,2021-12-24T05:00:00Z,12,24,2021,1660,N335DN,MCO,Delta Air Lines
AA,2021-12-25T05:00:00Z,12,25,2021,0688,N731AN,MIA,American Airlines
AA,2021-12-25T05:00:00Z,12,25,2021,1553,N4032T,EGE,American Airlines
AA,2021-12-25T05:00:00Z,12,25,2021,1610,N796AN,MIA,American Airlines
AA,2021-12-25T05:00:00Z,12,25,2021,2643,N872NN,CLT,American Airlines
B6,2021-12-25T05:00:00Z,12,25,2021,0201,N998JE,FLL,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,0425,N583JB,TPA,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,0453,N503JB,PBI,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,0518,N238JB,BOS,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,0669,N621JB,SJC,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,0723,N2142J,LAX,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,0753,N583JB,PBI,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,0803,N729JB,SJU,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,1083,N238JB,MCO,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,1201,N537JT,FLL,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,1483,N997JL,MCO,JetBlue Airways
B6,2021-12-25T05:00:00Z,12,25,2021,2193,N965JT,MIA,JetBlue Airways
DL,2021-12-25T05:00:00Z,12,25,2021,0350,N723TW,SAN,Delta Air Lines
DL,2021-12-25T05:00:00Z,12,25,2021,0351,N833MH,LAX,Delta Air Lines
DL,2021-12-25T05:00:00Z,12,25,2021,0424,N1604R,ATL,Delta Air Lines
DL,2021-12-25T05:00:00Z,12,25,2021,0442,N192DN,SFO,Delta Air Lines
DL,2021-12-25T05:00:00Z,12,25,2021,0452,N704X,SEA,Delta Air Lines
DL,2021-12-25T05:00:00Z,12,25,2021,0522,N717TW,SEA,Delta Air Lines
DL,2021-12-25T05:00:00Z,12,25,2021,0543,N199DN,LAX,Delta Air Lines
DL,2021-12-25T05:00:00Z,12,25,2021,0795,N826MH,PHX,Delta Air Lines
DL,2021-12-25T05:00:00Z,12,25,2021,1406,N375DA,TPA,Delta Air Lines
UA,2021-12-25T05:00:00Z,12,25,2021,0517,NA,LAX,United Air Lines
UA,2021-12-25T05:00:00Z,12,25,2021,0521,NA,SFO,United Air Lines
AA,2021-12-26T05:00:00Z,12,26,2021,0493,N992AN,CLT,American Airlines
AA,2021-12-26T05:00:00Z,12,26,2021,1444,N878NN,CLT,American Airlines
AA,2021-12-26T05:00:00Z,12,26,2021,2813,N958NN,AUS,American Airlines
AS,2021-12-26T05:00:00Z,12,26,2021,0657,N921VA,SFO,Alaska Airlines
B6,2021-12-26T05:00:00Z,12,26,2021,0001,N965JT,FLL,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0015,N989JT,SFO,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0053,N529JB,PBI,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0105,N247JB,ORD,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0225,N746JB,TPA,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0263,N985JT,SEA,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0355,N966JT,ONT,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0383,N192JB,MCO,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0425,N586JB,TPA,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0523,N2142J,LAX,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0601,N821JB,FLL,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,0676,N183JB,ORH,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,1201,N566JB,FLL,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,1273,N592JB,CHS,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,1603,N2029J,SJU,JetBlue Airways
B6,2021-12-26T05:00:00Z,12,26,2021,2802,N206JB,BUF,JetBlue Airways
DL,2021-12-26T05:00:00Z,12,26,2021,0302,N835MH,LAX,Delta Air Lines
DL,2021-12-26T05:00:00Z,12,26,2021,0343,N189DN,SFO,Delta Air Lines
DL,2021-12-26T05:00:00Z,12,26,2021,0350,N722TW,SAN,Delta Air Lines
DL,2021-12-26T05:00:00Z,12,26,2021,0371,N836MH,LAS,Delta Air Lines
DL,2021-12-26T05:00:00Z,12,26,2021,0795,N833MH,PHX,Delta Air Lines
DL,2021-12-26T05:00:00Z,12,26,2021,2265,N836DN,RSW,Delta Air Lines
UA,2021-12-26T05:00:00Z,12,26,2021,0515,NA,LAX,United Air Lines
AA,2021-12-27T05:00:00Z,12,27,2021,0493,N987AN,CLT,American Airlines
AA,2021-12-27T05:00:00Z,12,27,2021,1553,N9015D,EGE,American Airlines
AA,2021-12-27T05:00:00Z,12,27,2021,2369,N985NN,PHX,American Airlines
AS,2021-12-27T05:00:00Z,12,27,2021,0007,N927VA,SEA,Alaska Airlines
AS,2021-12-27T05:00:00Z,12,27,2021,0479,N487AS,PDX,Alaska Airlines
AS,2021-12-27T05:00:00Z,12,27,2021,0627,N464AS,SFO,Alaska Airlines
B6,2021-12-27T05:00:00Z,12,27,2021,0102,N324JB,BUF,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,0163,N621JB,SRQ,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,0295,N784JB,AUS,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,0425,N653JB,TPA,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,0583,N2048J,MCO,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,0745,N629JB,PSE,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,0776,N267JB,ORH,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,0841,N346JB,SAV,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,1005,N586JB,PDX,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,1261,N970JB,LAS,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,1277,N653JB,JAX,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,1634,N324JB,BTV,JetBlue Airways
B6,2021-12-27T05:00:00Z,12,27,2021,2155,N318JB,EYW,JetBlue Airways
DL,2021-12-27T05:00:00Z,12,27,2021,0452,N704X,SEA,Delta Air Lines
DL,2021-12-27T05:00:00Z,12,27,2021,0460,N838MH,SEA,Delta Air Lines
DL,2021-12-27T05:00:00Z,12,27,2021,0795,N834MH,PHX,Delta Air Lines
DL,2021-12-27T05:00:00Z,12,27,2021,1175,N108DQ,AUS,Delta Air Lines
UA,2021-12-27T05:00:00Z,12,27,2021,0517,NA,LAX,United Air Lines
AA,2021-12-28T05:00:00Z,12,28,2021,1875,N928NN,FLL,American Airlines
AA,2021-12-28T05:00:00Z,12,28,2021,2643,N932NN,CLT,American Airlines
AS,2021-12-28T05:00:00Z,12,28,2021,0221,N924VA,SEA,Alaska Airlines
AS,2021-12-28T05:00:00Z,12,28,2021,0479,N287AK,PDX,Alaska Airlines
AS,2021-12-28T05:00:00Z,12,28,2021,0629,N462AS,SFO,Alaska Airlines
AS,2021-12-28T05:00:00Z,12,28,2021,0769,N413AS,SFO,Alaska Airlines
B6,2021-12-28T05:00:00Z,12,28,2021,0053,N630JB,PBI,JetBlue Airways
B6,2021-12-28T05:00:00Z,12,28,2021,0225,N766JB,TPA,JetBlue Airways
B6,2021-12-28T05:00:00Z,12,28,2021,0263,N981JT,SEA,JetBlue Airways
B6,2021-12-28T05:00:00Z,12,28,2021,0776,N231JB,ORH,JetBlue Airways
B6,2021-12-28T05:00:00Z,12,28,2021,0841,N247JB,SAV,JetBlue Airways
B6,2021-12-28T05:00:00Z,12,28,2021,1119,N198JB,ATL,JetBlue Airways
B6,2021-12-28T05:00:00Z,12,28,2021,1483,N2044J,MCO,JetBlue Airways
DL,2021-12-28T05:00:00Z,12,28,2021,0302,N833MH,LAX,Delta Air Lines
