airline_name,date,month,day,year,flight_number,destination_airport,scheduled_hour,scheduled_departure_time,scheduled_elapsed_time_minutes
Alaska Airlines,2021-12-23,12,23,2021,0769,SFO,13,13:00,408
JetBlue Airways,2021-12-23,12,23,2021,0081,RNO,19,19:05,380
JetBlue Airways,2021-12-23,12,23,2021,0161,SMF,18,18:51,400
JetBlue Airways,2021-12-23,12,23,2021,0355,ONT,17,17:59,382
JetBlue Airways,2021-12-23,12,23,2021,0359,BUR,15,15:50,397
JetBlue Airways,2021-12-23,12,23,2021,0669,SJC,09,09:12,409
JetBlue Airways,2021-12-23,12,23,2021,0776,ORH,10,10:34,55
American Airlines,2021-12-24,12,24,2021,0495,CLT,09,09:29,130
American Airlines,2021-12-24,12,24,2021,1553,EGE,11,11:00,292
JetBlue Airways,2021-12-24,12,24,2021,0125,TPA,16,16:50,190
JetBlue Airways,2021-12-24,12,24,2021,0161,SMF,18,18:51,400
JetBlue Airways,2021-12-24,12,24,2021,0439,BQN,05,05:35,225
JetBlue Airways,2021-12-24,12,24,2021,0553,PBI,20,20:00,189
JetBlue Airways,2021-12-24,12,24,2021,0676,ORH,22,22:30,58
JetBlue Airways,2021-12-24,12,24,2021,0839,BQN,23,23:59,219
JetBlue Airways,2021-12-24,12,24,2021,1701,FLL,21,21:50,187
JetBlue Airways,2021-12-24,12,24,2021,2029,RSW,09,09:45,201
Delta Air Lines,2021-12-24,12,24,2021,0350,SAN,08,08:30,386
Delta Air Lines,2021-12-24,12,24,2021,0351,LAX,10,10:30,380
Delta Air Lines,2021-12-24,12,24,2021,0354,SLC,07,07:00,327
Delta Air Lines,2021-12-24,12,24,2021,0359,SLC,16,16:38,330
Delta Air Lines,2021-12-24,12,24,2021,0384,SLC,11,11:00,323
Delta Air Lines,2021-12-24,12,24,2021,0442,SFO,11,11:00,404
Delta Air Lines,2021-12-24,12,24,2021,0795,PHX,07,07:00,347
Delta Air Lines,2021-12-24,12,24,2021,1272,FLL,07,07:10,192
Delta Air Lines,2021-12-24,12,24,2021,1660,MCO,15,15:27,188
American Airlines,2021-12-25,12,25,2021,0688,MIA,13,13:30,188
American Airlines,2021-12-25,12,25,2021,1553,EGE,11,11:00,292
American Airlines,2021-12-25,12,25,2021,1610,MIA,07,07:59,194
American Airlines,2021-12-25,12,25,2021,2643,CLT,06,06:00,128
Alaska Airlines,2021-12-25,12,25,2021,0769,SFO,13,13:00,408
JetBlue Airways,2021-12-25,12,25,2021,0201,FLL,08,08:55,198
JetBlue Airways,2021-12-25,12,25,2021,0355,ONT,18,18:30,390
JetBlue Airways,2021-12-25,12,25,2021,0359,BUR,15,15:50,397
JetBlue Airways,2021-12-25,12,25,2021,0425,TPA,07,07:53,191
JetBlue Airways,2021-12-25,12,25,2021,0453,PBI,09,09:20,186
JetBlue Airways,2021-12-25,12,25,2021,0518,BOS,06,06:59,69
JetBlue Airways,2021-12-25,12,25,2021,0669,SJC,09,09:12,409
JetBlue Airways,2021-12-25,12,25,2021,0723,LAX,08,08:00,391
JetBlue Airways,2021-12-25,12,25,2021,0753,PBI,21,21:57,177
JetBlue Airways,2021-12-25,12,25,2021,0803,SJU,13,13:45,235
JetBlue Airways,2021-12-25,12,25,2021,1083,MCO,09,09:30,188
JetBlue Airways,2021-12-25,12,25,2021,1201,FLL,14,14:30,196
JetBlue Airways,2021-12-25,12,25,2021,1483,MCO,13,13:00,178
JetBlue Airways,2021-12-25,12,25,2021,2193,MIA,18,18:30,200
Delta Air Lines,2021-12-25,12,25,2021,0350,SAN,08,08:30,386
Delta Air Lines,2021-12-25,12,25,2021,0351,LAX,10,10:30,380
Delta Air Lines,2021-12-25,12,25,2021,0424,ATL,06,06:10,157
Delta Air Lines,2021-12-25,12,25,2021,0442,SFO,11,11:00,404
Delta Air Lines,2021-12-25,12,25,2021,0452,SEA,16,16:45,379
Delta Air Lines,2021-12-25,12,25,2021,0522,SEA,07,07:10,390
Delta Air Lines,2021-12-25,12,25,2021,0543,LAX,08,08:40,384
Delta Air Lines,2021-12-25,12,25,2021,0795,PHX,07,07:00,347
Delta Air Lines,2021-12-25,12,25,2021,1406,TPA,14,14:59,187
United Air Lines,2021-12-25,12,25,2021,0517,LAX,18,18:30,390
United Air Lines,2021-12-25,12,25,2021,0521,SFO,08,08:00,392
American Airlines,2021-12-26,12,26,2021,0493,CLT,12,12:00,125
American Airlines,2021-12-26,12,26,2021,1444,CLT,08,08:05,146
American Airlines,2021-12-26,12,26,2021,1553,EGE,11,11:00,292
American Airlines,2021-12-26,12,26,2021,2369,PHX,06,06:30,360
American Airlines,2021-12-26,12,26,2021,2813,AUS,08,08:00,261
Alaska Airlines,2021-12-26,12,26,2021,0007,SEA,07,07:30,389
Alaska Airlines,2021-12-26,12,26,2021,0657,SFO,18,18:35,418
Alaska Airlines,2021-12-26,12,26,2021,1063,SEA,11,11:30,385
JetBlue Airways,2021-12-26,12,26,2021,0001,FLL,05,05:43,187
JetBlue Airways,2021-12-26,12,26,2021,0015,SFO,08,08:00,413
JetBlue Airways,2021-12-26,12,26,2021,0053,PBI,08,08:01,190
JetBlue Airways,2021-12-26,12,26,2021,0081,RNO,19,19:05,380
JetBlue Airways,2021-12-26,12,26,2021,0105,ORD,20,20:30,171
JetBlue Airways,2021-12-26,12,26,2021,0161,SMF,18,18:51,400
JetBlue Airways,2021-12-26,12,26,2021,0225,TPA,06,06:00,182
JetBlue Airways,2021-12-26,12,26,2021,0263,SEA,16,16:35,388
JetBlue Airways,2021-12-26,12,26,2021,0355,ONT,17,17:59,382
JetBlue Airways,2021-12-26,12,26,2021,0383,MCO,14,14:16,182
JetBlue Airways,2021-12-26,12,26,2021,0425,TPA,07,07:53,191
JetBlue Airways,2021-12-26,12,26,2021,0523,LAX,11,11:00,385
JetBlue Airways,2021-12-26,12,26,2021,0601,FLL,06,06:30,187
JetBlue Airways,2021-12-26,12,26,2021,0669,SJC,09,09:12,409
JetBlue Airways,2021-12-26,12,26,2021,0676,ORH,22,22:30,58
JetBlue Airways,2021-12-26,12,26,2021,1201,FLL,14,14:30,196
JetBlue Airways,2021-12-26,12,26,2021,1273,CHS,08,08:00,141
JetBlue Airways,2021-12-26,12,26,2021,1603,SJU,05,05:40,227
JetBlue Airways,2021-12-26,12,26,2021,2802,BUF,09,09:30,88
Delta Air Lines,2021-12-26,12,26,2021,0302,LAX,07,07:00,380
Delta Air Lines,2021-12-26,12,26,2021,0343,SFO,08,08:18,417
Delta Air Lines,2021-12-26,12,26,2021,0350,SAN,08,08:30,388
Delta Air Lines,2021-12-26,12,26,2021,0371,LAS,08,08:05,363
Delta Air Lines,2021-12-26,12,26,2021,0522,SEA,07,07:10,391
Delta Air Lines,2021-12-26,12,26,2021,0795,PHX,07,07:00,347
Delta Air Lines,2021-12-26,12,26,2021,2265,RSW,08,08:37,213
United Air Lines,2021-12-26,12,26,2021,0515,LAX,08,08:30,390
American Airlines,2021-12-27,12,27,2021,0493,CLT,12,12:00,125
American Airlines,2021-12-27,12,27,2021,1553,EGE,11,11:00,292
American Airlines,2021-12-27,12,27,2021,2369,PHX,06,06:30,360
Alaska Airlines,2021-12-27,12,27,2021,0007,SEA,07,07:30,389
Alaska Airlines,2021-12-27,12,27,2021,0479,PDX,07,07:30,388
Alaska Airlines,2021-12-27,12,27,2021,0627,SFO,09,09:00,405
JetBlue Airways,2021-12-27,12,27,2021,0081,RNO,19,19:05,380
JetBlue Airways,2021-12-27,12,27,2021,0102,BUF,21,21:35,94
JetBlue Airways,2021-12-27,12,27,2021,0163,SRQ,08,08:00,195
JetBlue Airways,2021-12-27,12,27,2021,0295,AUS,11,11:03,266
JetBlue Airways,2021-12-27,12,27,2021,0355,ONT,18,18:30,390
JetBlue Airways,2021-12-27,12,27,2021,0425,TPA,07,07:53,191
JetBlue Airways,2021-12-27,12,27,2021,0583,MCO,08,08:00,192
JetBlue Airways,2021-12-27,12,27,2021,0745,PSE,23,23:59,229
JetBlue Airways,2021-12-27,12,27,2021,0776,ORH,10,10:34,55
JetBlue Airways,2021-12-27,12,27,2021,0823,LAX,18,18:59,391
JetBlue Airways,2021-12-27,12,27,2021,0841,SAV,06,06:29,137
JetBlue Airways,2021-12-27,12,27,2021,1005,PDX,19,19:40,382
JetBlue Airways,2021-12-27,12,27,2021,1261,LAS,10,10:15,364
JetBlue Airways,2021-12-27,12,27,2021,1277,JAX,20,20:30,164
JetBlue Airways,2021-12-27,12,27,2021,1634,BTV,09,09:45,75
JetBlue Airways,2021-12-27,12,27,2021,2155,EYW,07,07:45,217
Delta Air Lines,2021-12-27,12,27,2021,0452,SEA,16,16:45,380
Delta Air Lines,2021-12-27,12,27,2021,0460,SEA,19,19:59,403
Delta Air Lines,2021-12-27,12,27,2021,0795,PHX,07,07:00,347
Delta Air Lines,2021-12-27,12,27,2021,1175,AUS,13,13:52,268
United Air Lines,2021-12-27,12,27,2021,0517,LAX,18,18:30,390
American Airlines,2021-12-28,12,28,2021,1875,FLL,07,07:00,185
American Airlines,2021-12-28,12,28,2021,2643,CLT,06,06:00,128
Alaska Airlines,2021-12-28,12,28,2021,0221,SEA,16,16:40,393
Alaska Airlines,2021-12-28,12,28,2021,0479,PDX,07,07:30,388
Alaska Airlines,2021-12-28,12,28,2021,0629,SFO,11,11:30,408
Alaska Airlines,2021-12-28,12,28,2021,0769,SFO,13,13:00,408
JetBlue Airways,2021-12-28,12,28,2021,0053,PBI,08,08:01,190
JetBlue Airways,2021-12-28,12,28,2021,0071,SLC,18,18:30,333
JetBlue Airways,2021-12-28,12,28,2021,0081,RNO,19,19:05,380
JetBlue Airways,2021-12-28,12,28,2021,0161,SMF,18,18:51,400
JetBlue Airways,2021-12-28,12,28,2021,0225,TPA,06,06:00,182
JetBlue Airways,2021-12-28,12,28,2021,0263,SEA,16,16:35,388
JetBlue Airways,2021-12-28,12,28,2021,0776,ORH,10,10:34,55
JetBlue Airways,2021-12-28,12,28,2021,0841,SAV,06,06:30,137
JetBlue Airways,2021-12-28,12,28,2021,1005,PDX,19,19:40,382
JetBlue Airways,2021-12-28,12,28,2021,1119,ATL,13,13:10,158
JetBlue Airways,2021-12-28,12,28,2021,1483,MCO,13,13:00,178
Delta Air Lines,2021-12-28,12,28,2021,0302,LAX,07,07:00,380
United Air Lines,2021-12-28,12,28,2021,0523,SFO,16,16:55,392
Alaska Airlines,2021-12-29,12,29,2021,0007,SEA,07,07:30,389
JetBlue Airways,2021-12-29,12,29,2021,0116,SYR,08,08:29,81
JetBlue Airways,2021-12-29,12,29,2021,0355,ONT,18,18:30,390
JetBlue Airways,2021-12-29,12,29,2021,0359,BUR,15,15:50,397
JetBlue Airways,2021-12-29,12,29,2021,0385,RDU,21,21:35,105
JetBlue Airways,2021-12-29,12,29,2021,0486,ROC,21,21:30,84
JetBlue Airways,2021-12-29,12,29,2021,0518,BOS,06,06:59,69
JetBlue Airways,2021-12-29,12,29,2021,0575,MSY,14,14:59,219
JetBlue Airways,2021-12-29,12,29,2021,0586,ROC,17,17:30,85
JetBlue Airways,2021-12-29,12,29,2021,0669,SJC,09,09:12,409
JetBlue Airways,2021-12-29,12,29,2021,0745,PSE,23,23:59,229
JetBlue Airways,2021-12-29,12,29,2021,0803,SJU,13,13:45,235
JetBlue Airways,2021-12-29,12,29,2021,0839,BQN,23,23:59,219
JetBlue Airways,2021-12-29,12,29,2021,1073,BNA,15,15:58,164
JetBlue Airways,2021-12-29,12,29,2021,1415,SFO,19,19:34,413
JetBlue Airways,2021-12-29,12,29,2021,1881,IAH,13,13:10,259
JetBlue Airways,2021-12-29,12,29,2021,2103,SJU,20,20:00,237
JetBlue Airways,2021-12-29,12,29,2021,2893,MIA,20,20:55,198
Delta Air Lines,2021-12-29,12,29,2021,0445,LAS,19,19:59,369
Delta Air Lines,2021-12-29,12,29,2021,0639,SJU,08,08:05,240
Delta Air Lines,2021-12-29,12,29,2021,2422,MCO,07,07:05,185
United Air Lines,2021-12-29,12,29,2021,0521,SFO,08,08:00,392
JetBlue Airways,2021-12-30,12,30,2021,0071,SLC,18,18:30,333
JetBlue Airways,2021-12-30,12,30,2021,0081,RNO,19,19:05,380
JetBlue Airways,2021-12-30,12,30,2021,0084,MCO,11,11:30,179
JetBlue Airways,2021-12-30,12,30,2021,0105,ORD,20,20:30,171
JetBlue Airways,2021-12-30,12,30,2021,0116,SYR,08,08:29,81
JetBlue Airways,2021-12-30,12,30,2021,0234,BTV,22,22:00,76
JetBlue Airways,2021-12-30,12,30,2021,0329,RSW,06,06:20,199
JetBlue Airways,2021-12-30,12,30,2021,0359,BUR,15,15:50,397
JetBlue Airways,2021-12-30,12,30,2021,0383,MCO,14,14:16,182
JetBlue Airways,2021-12-30,12,30,2021,0453,PBI,09,09:20,186
JetBlue Airways,2021-12-30,12,30,2021,0486,ROC,21,21:30,84
JetBlue Airways,2021-12-30,12,30,2021,0518,BOS,06,06:59,69
JetBlue Airways,2021-12-30,12,30,2021,0523,LAX,11,11:00,385
JetBlue Airways,2021-12-30,12,30,2021,0553,PBI,20,20:00,189
JetBlue Airways,2021-12-30,12,30,2021,0617,MSP,20,20:30,197
JetBlue Airways,2021-12-30,12,30,2021,0725,SAT,09,09:00,284
JetBlue Airways,2021-12-30,12,30,2021,0776,ORH,10,10:34,55
JetBlue Airways,2021-12-30,12,30,2021,0795,AUS,09,09:59,272
JetBlue Airways,2021-12-30,12,30,2021,0803,SJU,13,13:45,235
JetBlue Airways,2021-12-30,12,30,2021,0839,BQN,23,23:59,219
JetBlue Airways,2021-12-30,12,30,2021,0841,SAV,06,06:30,137
JetBlue Airways,2021-12-30,12,30,2021,0915,SFO,16,16:44,411
JetBlue Airways,2021-12-30,12,30,2021,0919,ATL,21,21:00,161
JetBlue Airways,2021-12-30,12,30,2021,1019,DTW,18,18:30,133
JetBlue Airways,2021-12-30,12,30,2021,1073,BNA,15,15:58,164
JetBlue Airways,2021-12-30,12,30,2021,1849,PSP,17,17:00,374
JetBlue Airways,2021-12-30,12,30,2021,2029,RSW,09,09:45,201
JetBlue Airways,2021-12-30,12,30,2021,2155,EYW,07,07:45,217
JetBlue Airways,2021-12-30,12,30,2021,2402,BUF,17,17:20,89
JetBlue Airways,2021-12-30,12,30,2021,2473,CHS,14,14:59,138
Delta Air Lines,2021-12-30,12,30,2021,0338,SAN,17,17:10,385
Delta Air Lines,2021-12-30,12,30,2021,0343,SFO,08,08:18,417
Delta Air Lines,2021-12-30,12,30,2021,0354,SLC,07,07:00,329
Delta Air Lines,2021-12-30,12,30,2021,0452,SEA,16,16:45,380
Delta Air Lines,2021-12-30,12,30,2021,1406,TPA,14,14:59,189
Delta Air Lines,2021-12-30,12,30,2021,2265,RSW,08,08:37,213
Delta Air Lines,2021-12-30,12,30,2021,2422,MCO,07,07:05,185
United Air Lines,2021-12-30,12,30,2021,0515,LAX,08,08:30,390
American Airlines,2021-12-31,12,31,2021,2369,PHX,06,06:30,360
JetBlue Airways,2021-12-31,12,31,2021,0053,PBI,13,13:36,189
JetBlue Airways,2021-12-31,12,31,2021,0065,ABQ,19,19:55,311
JetBlue Airways,2021-12-31,12,31,2021,0089,SAN,16,16:00,383
JetBlue Airways,2021-12-31,12,31,2021,0295,AUS,11,11:29,267
JetBlue Airways,2021-12-31,12,31,2021,0341,SAV,15,15:59,144
JetBlue Airways,2021-12-31,12,31,2021,0383,MCO,14,14:16,182
JetBlue Airways,2021-12-31,12,31,2021,0385,RDU,21,21:35,105
JetBlue Airways,2021-12-31,12,31,2021,0486,ROC,21,21:30,84
JetBlue Airways,2021-12-31,12,31,2021,0518,BOS,06,06:59,69
JetBlue Airways,2021-12-31,12,31,2021,0523,LAX,11,11:00,385
JetBlue Airways,2021-12-31,12,31,2021,0525,TPA,12,12:19,189
JetBlue Airways,2021-12-31,12,31,2021,0586,ROC,17,17:30,85
JetBlue Airways,2021-12-31,12,31,2021,0601,FLL,06,06:30,187
JetBlue Airways,2021-12-31,12,31,2021,0725,SAT,09,09:00,284
JetBlue Airways,2021-12-31,12,31,2021,0745,PSE,23,23:59,229
JetBlue Airways,2021-12-31,12,31,2021,0753,PBI,21,21:57,177
JetBlue Airways,2021-12-31,12,31,2021,0776,ORH,10,10:34,55
JetBlue Airways,2021-12-31,12,31,2021,0823,LAX,18,18:59,391
JetBlue Airways,2021-12-31,12,31,2021,0915,SFO,16,16:44,411
