airline_name,date,month,day,year,flight_number,destination_airport,scheduled_hour,scheduled_departure_time,scheduled_elapsed_time_minutes
JetBlue Airways,2022-01-02,1,2,2022,0525,TPA,12,12:19,189
JetBlue Airways,2022-01-02,1,2,2022,0586,ROC,17,17:30,85
JetBlue Airways,2022-01-02,1,2,2022,0601,FLL,06,06:30,187
JetBlue Airways,2022-01-02,1,2,2022,0617,MSP,20,20:30,197
JetBlue Airways,2022-01-02,1,2,2022,0677,JAX,08,08:00,163
JetBlue Airways,2022-01-02,1,2,2022,0711,LAS,19,19:30,370
JetBlue Airways,2022-01-02,1,2,2022,0723,LAX,08,08:00,391
JetBlue Airways,2022-01-02,1,2,2022,0776,ORH,10,10:34,55
JetBlue Airways,2022-01-02,1,2,2022,0795,AUS,09,09:59,272
JetBlue Airways,2022-01-02,1,2,2022,0823,LAX,18,18:49,391
JetBlue Airways,2022-01-02,1,2,2022,0841,SAV,06,06:30,137
JetBlue Airways,2022-01-02,1,2,2022,0915,SFO,16,16:44,411
JetBlue Airways,2022-01-02,1,2,2022,1019,DTW,18,18:30,133
JetBlue Airways,2022-01-02,1,2,2022,1073,BNA,15,15:58,164
JetBlue Airways,2022-01-02,1,2,2022,1083,MCO,09,09:30,188
JetBlue Airways,2022-01-02,1,2,2022,1318,BOS,23,23:44,75
JetBlue Airways,2022-01-02,1,2,2022,1483,MCO,13,13:00,178
JetBlue Airways,2022-01-02,1,2,2022,1601,FLL,13,13:30,197
JetBlue Airways,2022-01-02,1,2,2022,1701,FLL,21,21:50,187
JetBlue Airways,2022-01-02,1,2,2022,1849,PSP,17,17:00,374
JetBlue Airways,2022-01-02,1,2,2022,1853,PBI,17,17:09,182
JetBlue Airways,2022-01-02,1,2,2022,2029,RSW,09,09:45,201
JetBlue Airways,2022-01-02,1,2,2022,2223,LAX,13,13:55,385
JetBlue Airways,2022-01-02,1,2,2022,2473,CHS,14,14:59,138
JetBlue Airways,2022-01-02,1,2,2022,2516,SYR,21,21:45,74
JetBlue Airways,2022-01-02,1,2,2022,2593,MIA,12,12:10,198
JetBlue Airways,2022-01-02,1,2,2022,2802,BUF,09,09:30,88
Delta Air Lines,2022-01-02,1,2,2022,0314,SFO,20,20:59,416
Delta Air Lines,2022-01-02,1,2,2022,0343,SFO,08,08:18,418
Delta Air Lines,2022-01-02,1,2,2022,1272,FLL,07,07:10,194
Delta Air Lines,2022-01-02,1,2,2022,2219,MIA,07,07:15,193
Delta Air Lines,2022-01-02,1,2,2022,2422,MCO,07,07:05,185
Republic Airways,2022-01-02,1,2,2022,4526,ORF,15,15:29,88
Republic Airways,2022-01-02,1,2,2022,4537,RIC,15,15:35,90
Republic Airways,2022-01-02,1,2,2022,4681,BWI,21,21:40,76
Republic Airways,2022-01-02,1,2,2022,5607,ORD,15,15:30,179
Republic Airways,2022-01-02,1,2,2022,5763,DCA,21,21:29,86
Endeavor Air,2022-01-03,1,3,2022,4634,MSP,12,12:20,178
Endeavor Air,2022-01-03,1,3,2022,5043,CLE,18,18:55,124
Endeavor Air,2022-01-03,1,3,2022,5096,PWM,21,21:20,85
Endeavor Air,2022-01-03,1,3,2022,5199,BWI,09,09:50,75
American Airlines,2022-01-03,1,3,2022,1479,MIA,14,14:59,198
Alaska Airlines,2022-01-03,1,3,2022,0657,SFO,18,18:35,418
JetBlue Airways,2022-01-03,1,3,2022,0097,DEN,20,20:00,288
JetBlue Airways,2022-01-03,1,3,2022,0116,SYR,08,08:29,81
JetBlue Airways,2022-01-03,1,3,2022,0135,PHX,18,18:30,352
JetBlue Airways,2022-01-03,1,3,2022,0186,ROC,10,10:40,80
JetBlue Airways,2022-01-03,1,3,2022,0234,BTV,22,22:00,76
JetBlue Airways,2022-01-03,1,3,2022,0285,RDU,08,08:40,111
JetBlue Airways,2022-01-03,1,3,2022,0341,SAV,15,15:59,144
JetBlue Airways,2022-01-03,1,3,2022,0383,MCO,14,14:16,182
JetBlue Airways,2022-01-03,1,3,2022,0518,BOS,06,06:59,69
JetBlue Airways,2022-01-03,1,3,2022,0617,MSP,20,20:30,197
JetBlue Airways,2022-01-03,1,3,2022,0711,LAS,19,19:30,370
JetBlue Airways,2022-01-03,1,3,2022,0725,SAT,09,09:00,284
JetBlue Airways,2022-01-03,1,3,2022,0776,ORH,10,10:34,55
JetBlue Airways,2022-01-03,1,3,2022,0919,ATL,21,21:00,161
JetBlue Airways,2022-01-03,1,3,2022,1019,DTW,18,18:30,133
JetBlue Airways,2022-01-03,1,3,2022,1073,BNA,15,15:58,164
JetBlue Airways,2022-01-03,1,3,2022,1083,MCO,09,09:30,188
JetBlue Airways,2022-01-03,1,3,2022,1849,PSP,17,17:00,374
JetBlue Airways,2022-01-03,1,3,2022,1881,IAH,13,13:10,259
JetBlue Airways,2022-01-03,1,3,2022,2223,LAX,13,13:55,385
JetBlue Airways,2022-01-03,1,3,2022,2402,BUF,17,17:20,89
Delta Air Lines,2022-01-03,1,3,2022,0442,SFO,11,11:00,407
Delta Air Lines,2022-01-03,1,3,2022,1036,DFW,18,18:10,253
Delta Air Lines,2022-01-03,1,3,2022,2969,MSY,16,16:18,217
United Air Lines,2022-01-03,1,3,2022,0517,LAX,18,18:30,390
Republic Airways,2022-01-03,1,3,2022,4537,RIC,15,15:35,90
Republic Airways,2022-01-03,1,3,2022,4552,DCA,18,18:10,83
Republic Airways,2022-01-03,1,3,2022,4602,DCA,13,13:55,81
Republic Airways,2022-01-03,1,3,2022,4649,DCA,07,07:45,92
Republic Airways,2022-01-03,1,3,2022,4655,DCA,09,09:59,83
Republic Airways,2022-01-03,1,3,2022,4666,CLE,07,07:59,131
Republic Airways,2022-01-03,1,3,2022,4671,RIC,17,17:29,90
Republic Airways,2022-01-03,1,3,2022,4678,CLE,20,20:30,118
Republic Airways,2022-01-03,1,3,2022,4681,BWI,21,21:40,76
Republic Airways,2022-01-03,1,3,2022,4687,BWI,13,13:15,74
Republic Airways,2022-01-03,1,3,2022,4692,DCA,20,20:00,83
Republic Airways,2022-01-03,1,3,2022,4712,RIC,09,09:10,96
Republic Airways,2022-01-03,1,3,2022,4726,ORF,17,17:15,87
Republic Airways,2022-01-03,1,3,2022,5657,CLT,08,08:40,136
Republic Airways,2022-01-03,1,3,2022,5665,DCA,17,17:40,83
Republic Airways,2022-01-03,1,3,2022,5668,DCA,09,09:10,84
Republic Airways,2022-01-03,1,3,2022,5731,DCA,15,15:33,87
Republic Airways,2022-01-03,1,3,2022,5763,DCA,21,21:29,86
Endeavor Air,2022-01-04,1,4,2022,5441,MSP,08,08:10,191
American Airlines,2022-01-04,1,4,2022,2222,BOS,08,08:25,83
Alaska Airlines,2022-01-04,1,4,2022,0393,SAN,16,16:55,362
JetBlue Airways,2022-01-04,1,4,2022,0186,ROC,10,10:40,80
JetBlue Airways,2022-01-04,1,4,2022,0234,BTV,22,22:00,76
JetBlue Airways,2022-01-04,1,4,2022,0293,SJU,11,11:00,231
JetBlue Airways,2022-01-04,1,4,2022,0383,MCO,14,14:16,182
JetBlue Airways,2022-01-04,1,4,2022,0439,BQN,05,05:35,225
JetBlue Airways,2022-01-04,1,4,2022,0518,BOS,06,06:59,69
JetBlue Airways,2022-01-04,1,4,2022,0617,MSP,20,20:30,197
JetBlue Airways,2022-01-04,1,4,2022,0623,LAX,15,15:59,386
JetBlue Airways,2022-01-04,1,4,2022,0753,PBI,21,21:57,177
JetBlue Airways,2022-01-04,1,4,2022,0776,ORH,10,10:34,55
JetBlue Airways,2022-01-04,1,4,2022,0841,SAV,06,06:30,137
JetBlue Airways,2022-01-04,1,4,2022,0919,ATL,21,21:05,161
JetBlue Airways,2022-01-04,1,4,2022,1073,BNA,15,15:58,164
JetBlue Airways,2022-01-04,1,4,2022,1083,MCO,09,09:30,188
JetBlue Airways,2022-01-04,1,4,2022,1273,CHS,08,08:00,141
JetBlue Airways,2022-01-04,1,4,2022,1283,MCO,16,16:30,184
JetBlue Airways,2022-01-04,1,4,2022,1853,PBI,17,17:09,182
JetBlue Airways,2022-01-04,1,4,2022,2402,BUF,17,17:20,89
Delta Air Lines,2022-01-04,1,4,2022,0343,SFO,08,08:18,418
Delta Air Lines,2022-01-04,1,4,2022,0350,SAN,08,08:30,389
Delta Air Lines,2022-01-04,1,4,2022,0522,SEA,07,07:10,392
United Air Lines,2022-01-04,1,4,2022,0523,SFO,16,16:55,392
Republic Airways,2022-01-04,1,4,2022,4636,DCA,13,13:26,85
Republic Airways,2022-01-04,1,4,2022,4671,RIC,18,18:15,90
Republic Airways,2022-01-04,1,4,2022,5606,JAX,08,08:15,164
American Airlines,2022-01-05,1,5,2022,1553,EGE,11,11:00,296
JetBlue Airways,2022-01-05,1,5,2022,0102,BUF,21,21:35,94
Delta Air Lines,2022-01-05,1,5,2022,0797,PBI,08,08:15,185
Delta Air Lines,2022-01-05,1,5,2022,1104,LAS,08,08:10,360
Republic Airways,2022-01-05,1,5,2022,4641,DCA,07,07:45,85
Republic Airways,2022-01-05,1,5,2022,4913,ORF,12,12:00,86
Endeavor Air,2022-01-06,1,6,2022,4778,IAD,21,21:00,82
Endeavor Air,2022-01-06,1,6,2022,5023,BNA,15,15:10,161
Endeavor Air,2022-01-06,1,6,2022,5057,BUF,09,09:41,92
Endeavor Air,2022-01-06,1,6,2022,5282,BUF,17,17:19,93
American Airlines,2022-01-06,1,6,2022,1444,CLT,07,07:35,135
American Airlines,2022-01-06,1,6,2022,1553,EGE,11,11:00,296
American Airlines,2022-01-06,1,6,2022,1609,BOS,22,22:45,74
American Airlines,2022-01-06,1,6,2022,2643,CLT,06,06:00,130
Alaska Airlines,2022-01-06,1,6,2022,0393,SAN,16,16:55,362
JetBlue Airways,2022-01-06,1,6,2022,2802,BUF,08,08:10,89
JetBlue Airways,2022-01-06,1,6,2022,2893,MIA,21,21:20,197
Delta Air Lines,2022-01-06,1,6,2022,0439,LAX,13,13:59,386
Delta Air Lines,2022-01-06,1,6,2022,1542,MSY,16,16:00,216
Republic Airways,2022-01-06,1,6,2022,5615,BOS,22,22:30,75
Republic Airways,2022-01-06,1,6,2022,5665,DCA,17,17:49,81
Republic Airways,2022-01-06,1,6,2022,5763,DCA,21,21:42,78
Endeavor Air,2022-01-07,1,7,2022,4629,ORF,09,09:55,87
Endeavor Air,2022-01-07,1,7,2022,4635,MSP,14,14:59,207
Endeavor Air,2022-01-07,1,7,2022,4676,DTW,07,07:10,133
Endeavor Air,2022-01-07,1,7,2022,4716,ORD,11,11:12,169
Endeavor Air,2022-01-07,1,7,2022,4726,ROC,09,09:46,84
Endeavor Air,2022-01-07,1,7,2022,4761,CHS,08,08:30,138
Endeavor Air,2022-01-07,1,7,2022,4801,IND,08,08:50,151
Endeavor Air,2022-01-07,1,7,2022,4858,DTW,12,12:59,130
Endeavor Air,2022-01-07,1,7,2022,4873,RDU,08,08:15,113
Endeavor Air,2022-01-07,1,7,2022,4982,CLE,08,08:59,121
Endeavor Air,2022-01-07,1,7,2022,5020,RIC,08,08:17,100
Endeavor Air,2022-01-07,1,7,2022,5053,PIT,08,08:15,103
Endeavor Air,2022-01-07,1,7,2022,5057,BUF,09,09:41,92
Endeavor Air,2022-01-07,1,7,2022,5113,RDU,11,11:42,106
Endeavor Air,2022-01-07,1,7,2022,5199,BWI,08,08:45,80
Endeavor Air,2022-01-07,1,7,2022,5291,SAV,09,09:20,143
Endeavor Air,2022-01-07,1,7,2022,5412,BNA,08,08:35,157
Endeavor Air,2022-01-07,1,7,2022,5470,CLT,08,08:39,136
American Airlines,2022-01-07,1,7,2022,0001,LAX,07,07:30,394
American Airlines,2022-01-07,1,7,2022,0076,SFO,07,07:00,413
American Airlines,2022-01-07,1,7,2022,0171,LAX,06,06:00,394
American Airlines,2022-01-07,1,7,2022,0179,SFO,08,08:59,412
American Airlines,2022-01-07,1,7,2022,0327,CLT,14,14:59,136
American Airlines,2022-01-07,1,7,2022,0429,SNA,16,16:35,386
American Airlines,2022-01-07,1,7,2022,0495,CLT,09,09:25,132
American Airlines,2022-01-07,1,7,2022,0936,STT,09,09:25,235
American Airlines,2022-01-07,1,7,2022,1228,MIA,09,09:40,193
American Airlines,2022-01-07,1,7,2022,1330,LAS,20,20:40,366
American Airlines,2022-01-07,1,7,2022,1444,CLT,07,07:35,135
American Airlines,2022-01-07,1,7,2022,1487,PHX,16,16:25,361
American Airlines,2022-01-07,1,7,2022,1610,MIA,08,08:00,200
American Airlines,2022-01-07,1,7,2022,1637,BOS,12,12:32,75
American Airlines,2022-01-07,1,7,2022,1875,FLL,07,07:00,192
American Airlines,2022-01-07,1,7,2022,2222,BOS,08,08:25,83
American Airlines,2022-01-07,1,7,2022,2234,DFW,08,08:00,268
American Airlines,2022-01-07,1,7,2022,2268,MIA,06,06:30,190
American Airlines,2022-01-07,1,7,2022,2369,PHX,06,06:30,365
American Airlines,2022-01-07,1,7,2022,2643,CLT,06,06:00,130
American Airlines,2022-01-07,1,7,2022,2813,AUS,08,08:00,273
American Airlines,2022-01-07,1,7,2022,2819,ORD,07,07:50,186
Alaska Airlines,2022-01-07,1,7,2022,0014,SFO,13,13:00,404
Alaska Airlines,2022-01-07,1,7,2022,0027,SFO,09,09:00,401
Alaska Airlines,2022-01-07,1,7,2022,0063,SEA,11,11:30,385
Alaska Airlines,2022-01-07,1,7,2022,0077,SEA,09,09:30,385
Alaska Airlines,2022-01-07,1,7,2022,0185,SFO,11,11:30,404
Alaska Airlines,2022-01-07,1,7,2022,0186,PDX,07,07:30,385
JetBlue Airways,2022-01-07,1,7,2022,0001,FLL,07,07:30,195
JetBlue Airways,2022-01-07,1,7,2022,0015,SFO,08,08:20,413
JetBlue Airways,2022-01-07,1,7,2022,0053,PBI,07,07:30,184
JetBlue Airways,2022-01-07,1,7,2022,0116,SYR,09,09:25,78
JetBlue Airways,2022-01-07,1,7,2022,0118,BOS,11,11:35,70
JetBlue Airways,2022-01-07,1,7,2022,0125,TPA,11,11:05,190
JetBlue Airways,2022-01-07,1,7,2022,0163,SRQ,08,08:00,195
JetBlue Airways,2022-01-07,1,7,2022,0186,ROC,09,09:15,85
JetBlue Airways,2022-01-07,1,7,2022,0201,FLL,08,08:18,202
JetBlue Airways,2022-01-07,1,7,2022,0295,AUS,13,13:44,269
JetBlue Airways,2022-01-07,1,7,2022,0459,BUR,08,08:45,400
JetBlue Airways,2022-01-07,1,7,2022,0518,BOS,06,06:59,69
JetBlue Airways,2022-01-07,1,7,2022,0519,ATL,08,08:57,161
JetBlue Airways,2022-01-07,1,7,2022,0583,MCO,07,07:30,187
JetBlue Airways,2022-01-07,1,7,2022,0677,JAX,07,07:20,160
JetBlue Airways,2022-01-07,1,7,2022,0709,DFW,12,12:29,254
JetBlue Airways,2022-01-07,1,7,2022,0711,LAS,19,19:12,369
JetBlue Airways,2022-01-07,1,7,2022,0723,LAX,08,08:00,391
JetBlue Airways,2022-01-07,1,7,2022,0776,ORH,13,13:06,58
JetBlue Airways,2022-01-07,1,7,2022,0841,SAV,07,07:30,149
JetBlue Airways,2022-01-07,1,7,2022,0853,PBI,12,12:00,185
JetBlue Airways,2022-01-07,1,7,2022,0871,SLC,08,08:40,327
JetBlue Airways,2022-01-07,1,7,2022,0901,FLL,11,11:15,194
JetBlue Airways,2022-01-07,1,7,2022,1005,PDX,19,19:42,382
JetBlue Airways,2022-01-07,1,7,2022,1019,DTW,20,20:30,130
JetBlue Airways,2022-01-07,1,7,2022,1053,PBI,09,09:00,186
JetBlue Airways,2022-01-07,1,7,2022,1201,FLL,15,15:59,197
JetBlue Airways,2022-01-07,1,7,2022,1273,CHS,08,08:00,141
JetBlue Airways,2022-01-07,1,7,2022,1401,FLL,18,18:45,196
JetBlue Airways,2022-01-07,1,7,2022,1438,BOS,08,08:30,77
JetBlue Airways,2022-01-07,1,7,2022,1634,BTV,09,09:40,75
JetBlue Airways,2022-01-07,1,7,2022,2029,RSW,09,09:33,203
JetBlue Airways,2022-01-07,1,7,2022,2155,EYW,07,07:41,218
JetBlue Airways,2022-01-07,1,7,2022,2593,MIA,10,10:30,198
JetBlue Airways,2022-01-07,1,7,2022,2802,BUF,08,08:10,89
Delta Air Lines,2022-01-07,1,7,2022,0302,LAX,07,07:00,380
Delta Air Lines,2022-01-07,1,7,2022,0311,SFO,16,16:35,404
Delta Air Lines,2022-01-07,1,7,2022,0314,SFO,20,20:00,408
Delta Air Lines,2022-01-07,1,7,2022,0350,SAN,08,08:08,387
Delta Air Lines,2022-01-07,1,7,2022,0351,LAX,10,10:29,381
Delta Air Lines,2022-01-07,1,7,2022,0354,SLC,07,07:00,330
Delta Air Lines,2022-01-07,1,7,2022,0424,ATL,06,06:30,155
Delta Air Lines,2022-01-07,1,7,2022,0487,SFO,07,07:00,402
Delta Air Lines,2022-01-07,1,7,2022,0659,AUS,08,08:30,276
Delta Air Lines,2022-01-07,1,7,2022,0797,PBI,08,08:15,185
Delta Air Lines,2022-01-07,1,7,2022,0812,MCO,07,07:30,179
Delta Air Lines,2022-01-07,1,7,2022,0829,PHX,18,18:51,358
Delta Air Lines,2022-01-07,1,7,2022,0863,ATL,08,08:30,162
Delta Air Lines,2022-01-07,1,7,2022,1005,DFW,08,08:15,260
Delta Air Lines,2022-01-07,1,7,2022,1104,LAS,08,08:10,360
Delta Air Lines,2022-01-07,1,7,2022,1170,DEN,08,08:05,285
Delta Air Lines,2022-01-07,1,7,2022,1175,AUS,13,13:05,259
Delta Air Lines,2022-01-07,1,7,2022,1272,FLL,07,07:05,193
Delta Air Lines,2022-01-07,1,7,2022,1377,MSY,08,08:05,222
Delta Air Lines,2022-01-07,1,7,2022,1547,STT,08,08:30,241
Delta Air Lines,2022-01-07,1,7,2022,2127,FLL,11,11:40,180
Delta Air Lines,2022-01-07,1,7,2022,2219,MIA,07,07:00,189
Delta Air Lines,2022-01-07,1,7,2022,2433,TPA,13,13:00,180
Delta Air Lines,2022-01-07,1,7,2022,2469,TPA,07,07:30,185
Delta Air Lines,2022-01-07,1,7,2022,2638,SEA,07,07:15,383
Delta Air Lines,2022-01-07,1,7,2022,2776,MIA,11,11:00,190
Republic Airways,2022-01-07,1,7,2022,4527,ORF,08,08:46,90
Republic Airways,2022-01-07,1,7,2022,4638,IND,09,09:59,148
Republic Airways,2022-01-07,1,7,2022,4641,DCA,07,07:45,85
Republic Airways,2022-01-07,1,7,2022,4666,CLE,07,07:20,117
Republic Airways,2022-01-07,1,7,2022,4712,RIC,09,09:15,91
Republic Airways,2022-01-07,1,7,2022,4913,ORF,12,12:00,86
Republic Airways,2022-01-07,1,7,2022,4926,RDU,07,07:40,110
Republic Airways,2022-01-07,1,7,2022,5603,BOS,09,09:55,70
Republic Airways,2022-01-07,1,7,2022,5606,JAX,08,08:10,167
Republic Airways,2022-01-07,1,7,2022,5609,CMH,10,10:30,104
Republic Airways,2022-01-07,1,7,2022,5615,BOS,22,22:30,75
Republic Airways,2022-01-07,1,7,2022,5619,RDU,13,13:35,107
Republic Airways,2022-01-07,1,7,2022,5630,CLT,12,12:00,121
Republic Airways,2022-01-07,1,7,2022,5639,BOS,12,12:50,76
Republic Airways,2022-01-07,1,7,2022,5668,DCA,09,09:20,80
Republic Airways,2022-01-07,1,7,2022,5731,DCA,16,16:00,85
Republic Airways,2022-01-07,1,7,2022,5747,JAX,14,14:55,162
Republic Airways,2022-01-07,1,7,2022,5762,BOS,07,07:30,80
Republic Airways,2022-01-07,1,7,2022,5809,ORD,08,08:30,168
Republic Airways,2022-01-07,1,7,2022,5829,PIT,19,19:29,105
American Airlines,2022-01-08,1,8,2022,0830,JAC,11,11:00,317
Alaska Airlines,2022-01-08,1,8,2022,0077,SEA,09,09:30,385
Alaska Airlines,2022-01-08,1,8,2022,0186,PDX,07,07:30,385
Alaska Airlines,2022-01-08,1,8,2022,0221,SEA,16,16:55,392
JetBlue Airways,2022-01-08,1,8,2022,0676,ORH,22,22:30,58
JetBlue Airways,2022-01-08,1,8,2022,1019,DTW,20,20:30,130
JetBlue Airways,2022-01-08,1,8,2022,1201,FLL,15,15:59,197
JetBlue Airways,2022-01-08,1,8,2022,2402,BUF,18,18:30,96
Delta Air Lines,2022-01-08,1,8,2022,0445,LAS,19,19:29,359
Republic Airways,2022-01-08,1,8,2022,5607,ORD,15,15:30,170
Republic Airways,2022-01-08,1,8,2022,5762,BOS,07,07:30,80
American Airlines,2022-01-09,1,9,2022,0936,STT,09,09:25,235
American Airlines,2022-01-09,1,9,2022,1444,CLT,07,07:35,135
American Airlines,2022-01-09,1,9,2022,1875,FLL,07,07:00,192
American Airlines,2022-01-09,1,9,2022,2643,CLT,06,06:00,130
Alaska Airlines,2022-01-09,1,9,2022,0221,SEA,16,16:55,392
JetBlue Airways,2022-01-09,1,9,2022,1318,BOS,22,22:59,76
JetBlue Airways,2022-01-09,1,9,2022,1634,BTV,09,09:40,75
Delta Air Lines,2022-01-09,1,9,2022,0445,LAS,19,19:30,359
Alaska Airlines,2022-01-10,1,10,2022,0221,SEA,16,16:55,392
JetBlue Airways,2022-01-10,1,10,2022,0065,ABQ,20,20:00,309
JetBlue Airways,2022-01-10,1,10,2022,0097,DEN,20,20:00,288
JetBlue Airways,2022-01-10,1,10,2022,0601,FLL,06,06:00,188
JetBlue Airways,2022-01-10,1,10,2022,0809,DFW,20,20:00,263
JetBlue Airways,2022-01-10,1,10,2022,1005,PDX,19,19:42,382
Delta Air Lines,2022-01-10,1,10,2022,0343,SFO,09,09:05,405
Delta Air Lines,2022-01-10,1,10,2022,0675,BOS,14,14:55,85
Delta Air Lines,2022-01-10,1,10,2022,1427,PDX,19,19:25,386
American Airlines,2022-01-11,1,11,2022,2305,SFO,17,17:00,410
JetBlue Airways,2022-01-11,1,11,2022,0425,TPA,06,06:30,181
JetBlue Airways,2022-01-11,1,11,2022,1003,SJU,21,21:20,233
JetBlue Airways,2022-01-11,1,11,2022,1005,PDX,19,19:42,382
JetBlue Airways,2022-01-11,1,11,2022,1849,PSP,17,17:29,378
Endeavor Air,2022-01-12,1,12,2022,5090,IND,14,14:55,149
Endeavor Air,2022-01-12,1,12,2022,5241,CHS,14,14:59,139
American Airlines,2022-01-12,1,12,2022,0442,BOS,15,15:45,75
JetBlue Airways,2022-01-12,1,12,2022,0425,TPA,06,06:30,181
JetBlue Airways,2022-01-12,1,12,2022,0459,BUR,08,08:45,400
Alaska Airlines,2022-01-13,1,13,2022,0027,SFO,09,09:00,401
Alaska Airlines,2022-01-13,1,13,2022,0221,SEA,16,16:55,392
Delta Air Lines,2022-01-13,1,13,2022,0992,MSP,07,07:59,196
JetBlue Airways,2022-01-14,1,14,2022,0453,PBI,15,15:30,189
Delta Air Lines,2022-01-14,1,14,2022,0460,SEA,18,18:07,382
Endeavor Air,2022-01-15,1,15,2022,4795,BUF,21,21:35,99
Endeavor Air,2022-01-15,1,15,2022,5379,CLT,17,17:00,134
American Airlines,2022-01-15,1,15,2022,1355,CLT,19,19:30,131
American Airlines,2022-01-15,1,15,2022,2731,CLT,17,17:29,131
JetBlue Airways,2022-01-15,1,15,2022,0355,ONT,18,18:30,390
JetBlue Airways,2022-01-15,1,15,2022,0725,SAT,09,09:45,279
Endeavor Air,2022-01-16,1,16,2022,4778,IAD,21,21:00,82
Endeavor Air,2022-01-16,1,16,2022,4795,BUF,21,21:35,99
Endeavor Air,2022-01-16,1,16,2022,4829,RDU,16,16:55,113
Endeavor Air,2022-01-16,1,16,2022,4875,ROC,21,21:59,88
Endeavor Air,2022-01-16,1,16,2022,5113,RDU,11,11:42,106
Endeavor Air,2022-01-16,1,16,2022,5214,BWI,21,21:50,74
Endeavor Air,2022-01-16,1,16,2022,5460,IAD,14,14:55,82
Endeavor Air,2022-01-16,1,16,2022,5470,CLT,08,08:39,136
American Airlines,2022-01-16,1,16,2022,0311,CLT,13,13:40,129
American Airlines,2022-01-16,1,16,2022,0327,CLT,14,14:59,136
American Airlines,2022-01-16,1,16,2022,0493,CLT,12,12:00,125
American Airlines,2022-01-16,1,16,2022,0495,CLT,09,09:25,132
American Airlines,2022-01-16,1,16,2022,1032,MIA,09,09:15,185
American Airlines,2022-01-16,1,16,2022,1355,CLT,19,19:29,131
American Airlines,2022-01-16,1,16,2022,1444,CLT,07,07:35,135
American Airlines,2022-01-16,1,16,2022,1901,MIA,16,16:29,200
American Airlines,2022-01-16,1,16,2022,2643,CLT,06,06:00,130
American Airlines,2022-01-16,1,16,2022,2731,CLT,17,17:29,131
Alaska Airlines,2022-01-16,1,16,2022,0027,SFO,09,09:00,401
JetBlue Airways,2022-01-16,1,16,2022,0102,BUF,21,21:35,94
JetBlue Airways,2022-01-16,1,16,2022,0234,BTV,21,21:59,76
JetBlue Airways,2022-01-16,1,16,2022,0303,SJU,22,22:59,230
JetBlue Airways,2022-01-16,1,16,2022,0486,ROC,22,22:16,82
JetBlue Airways,2022-01-16,1,16,2022,0553,PBI,21,21:20,178
JetBlue Airways,2022-01-16,1,16,2022,0585,RDU,05,05:59,101
JetBlue Airways,2022-01-16,1,16,2022,0617,MSP,20,20:59,197
JetBlue Airways,2022-01-16,1,16,2022,0629,RSW,21,21:45,194
JetBlue Airways,2022-01-16,1,16,2022,0676,ORH,22,22:30,58
JetBlue Airways,2022-01-16,1,16,2022,0918,BOS,21,21:50,79
JetBlue Airways,2022-01-16,1,16,2022,1005,PDX,19,19:42,382
JetBlue Airways,2022-01-16,1,16,2022,1083,MCO,05,05:30,175
JetBlue Airways,2022-01-16,1,16,2022,1277,JAX,20,20:50,164
JetBlue Airways,2022-01-16,1,16,2022,1295,AUS,20,20:40,269
JetBlue Airways,2022-01-16,1,16,2022,1318,BOS,22,22:59,76
JetBlue Airways,2022-01-16,1,16,2022,1415,SFO,19,19:30,414
JetBlue Airways,2022-01-16,1,16,2022,2103,SJU,20,20:04,235
JetBlue Airways,2022-01-16,1,16,2022,2516,SYR,21,21:59,75
JetBlue Airways,2022-01-16,1,16,2022,2893,MIA,21,21:20,197
Delta Air Lines,2022-01-16,1,16,2022,0350,SAN,08,08:08,387
Republic Airways,2022-01-16,1,16,2022,4522,BWI,17,17:15,75
Republic Airways,2022-01-16,1,16,2022,4530,PIT,15,15:45,105
Republic Airways,2022-01-16,1,16,2022,4533,RDU,21,21:40,112
Republic Airways,2022-01-16,1,16,2022,4537,RIC,15,15:39,91
Republic Airways,2022-01-16,1,16,2022,4540,RDU,16,16:45,110
Republic Airways,2022-01-16,1,16,2022,4628,RDU,13,13:00,110
Republic Airways,2022-01-16,1,16,2022,4690,PIT,17,17:15,105
Republic Airways,2022-01-16,1,16,2022,4712,RIC,09,09:15,91
Republic Airways,2022-01-16,1,16,2022,4717,DCA,19,19:59,85
Republic Airways,2022-01-16,1,16,2022,4722,DCA,17,17:20,85
Republic Airways,2022-01-16,1,16,2022,4926,RDU,07,07:40,110
Republic Airways,2022-01-16,1,16,2022,5011,PIT,22,22:00,107
Republic Airways,2022-01-16,1,16,2022,5630,CLT,12,12:00,121
Republic Airways,2022-01-16,1,16,2022,5645,CLT,14,14:55,128
Republic Airways,2022-01-16,1,16,2022,5665,DCA,17,17:49,81
Republic Airways,2022-01-16,1,16,2022,5731,DCA,16,16:00,85
Republic Airways,2022-01-16,1,16,2022,5806,BOS,17,17:39,79
Republic Airways,2022-01-16,1,16,2022,5829,PIT,19,19:29,105
Endeavor Air,2022-01-17,1,17,2022,4801,IND,08,08:50,151
American Airlines,2022-01-17,1,17,2022,0341,LAX,15,15:10,397
American Airlines,2022-01-17,1,17,2022,1444,CLT,07,07:35,135
Alaska Airlines,2022-01-17,1,17,2022,0027,SFO,09,09:00,401
Alaska Airlines,2022-01-17,1,17,2022,0393,SAN,16,16:55,362
JetBlue Airways,2022-01-17,1,17,2022,0116,SYR,09,09:25,78
