Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"AA","01/30/2022","1330","N958NN","LAS"
"AA","01/30/2022","1444","N813NN","CLT"
"AA","01/30/2022","1553","N9012","EGE"
"AA","01/30/2022","1637","N115NN","BOS"
"AA","01/30/2022","1875","N802NN","FLL"
"AA","01/30/2022","2222","N115NN","BOS"
"AA","01/30/2022","2234","N314RH","DFW"
"AA","01/30/2022","2268","N788AN","MIA"
"AA","01/30/2022","2369","N960NN","PHX"
"AA","01/30/2022","2643","N878NN","CLT"
"AA","01/30/2022","2772","N994NN","AUS"
"AA","01/30/2022","2813","N344PP","AUS"

 SOURCE: Bureau of Transportation Statistics
